Lead,Empresa,Endereco,Telefone,possui_telefone,avaliacao_google,origem,data_coleta
1,AB Brasil Indústria e Comércio de Alimentos Ltda.,"Av. Itavuvu, 4691",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
2,Alimentos Zaeli | Sorocaba,"R. Pilar do Sul, 243",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
3,Biolub Química,"R. Ondina Senger Moreira, 70",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
4,Catalent Brasil Indaiatuba,"Av. José Vieira, 446",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
5,Florus Brasil Indústria e Comércio de Cosméticos,"Alameda Comendador Dr. Santoro Mirone, 570",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
6,Grace Brasil,"Av. Paraná, 4690 - Rua 2",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
7,Indafarma Indústria e Comércio de Produtos Químicos,"Rodovia Engenheira Ermenio O Penteado - s/n Km 57, 5",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
8,Martt Química,"Av. Pirelli, 1530 - Galpão 05",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
9,PROM DO BRASIL,"R. Ema Gazzi Magnusson, 174",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
10,Rich's do Brasil Sorocaba,"Av. Vela Olímpica, 1000",Nao informado,Nao,Nao informado,Google Maps via Apify,2026-03-17 00:16:50
